Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[disease]	Characteristics[organism part]	Characteristics[cell line]	Provider	Material Type	Protocol REF	Protocol REF	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[compound]
G007LK-3	ERS3548932	SAMEA5745647	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	G007LK-3	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	G007LK-3	sequencing assay	ERX3430154	GCF251S-007-3_S30_R1_001.fastq.gz	GCF251S-007-3_S30_R1_001.fastq.gz	ERR3406508	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3406508/ERR3406508_1.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	G007LK (1 micromolar)
G007LK-3	ERS3548932	SAMEA5745647	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	G007LK-3	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	G007LK-3	sequencing assay	ERX3430154	GCF251S-007-3_S30_R2_001.fastq.gz	GCF251S-007-3_S30_R2_001.fastq.gz	ERR3406508	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3406508/ERR3406508_2.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	G007LK (1 micromolar)
WNT-1	ERS3548933	SAMEA5745648	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	WNT-1	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	WNT-1	sequencing assay	ERX3430155	GCF251S-WNT1_S33_R1_001.fastq.gz	GCF251S-WNT1_S33_R1_001.fastq.gz	ERR3406509	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3406509/ERR3406509_1.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	WNT3a (0.5 microgram per milliliter)
WNT-1	ERS3548933	SAMEA5745648	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	WNT-1	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	WNT-1	sequencing assay	ERX3430155	GCF251S-WNT1_S33_R2_001.fastq.gz	GCF251S-WNT1_S33_R2_001.fastq.gz	ERR3406509	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3406509/ERR3406509_2.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	WNT3a (0.5 microgram per milliliter)
WNT-2	ERS3548934	SAMEA5745649	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	WNT-2	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	WNT-2	sequencing assay	ERX3430156	GCF251S-WNT2_S36_R1_001.fastq.gz	GCF251S-WNT2_S36_R1_001.fastq.gz	ERR3406510	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3406510/ERR3406510_1.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	WNT3a (0.5 microgram per milliliter)
WNT-2	ERS3548934	SAMEA5745649	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	WNT-2	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	WNT-2	sequencing assay	ERX3430156	GCF251S-WNT2_S36_R2_001.fastq.gz	GCF251S-WNT2_S36_R2_001.fastq.gz	ERR3406510	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3406510/ERR3406510_2.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	WNT3a (0.5 microgram per milliliter)
WNT-3	ERS3548935	SAMEA5745650	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	WNT-3	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	WNT-3	sequencing assay	ERX3430157	GCF251S-WNT3_S39_R1_001.fastq.gz	GCF251S-WNT3_S39_R1_001.fastq.gz	ERR3406511	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3406511/ERR3406511_1.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	WNT3a (0.5 microgram per milliliter)
WNT-3	ERS3548935	SAMEA5745650	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	WNT-3	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	WNT-3	sequencing assay	ERX3430157	GCF251S-WNT3_S39_R2_001.fastq.gz	GCF251S-WNT3_S39_R2_001.fastq.gz	ERR3406511	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3406511/ERR3406511_2.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	WNT3a (0.5 microgram per milliliter)
WNT_G007LK-1	ERS3548936	SAMEA5745651	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	WNT_G007LK-1	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	WNT_G007LK-1	sequencing assay	ERX3430158	GCF251S-WNT007-1_S42_R1_001.fastq.gz	GCF251S-WNT007-1_S42_R1_001.fastq.gz	ERR3406512	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3406512/ERR3406512_1.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	WNT3a (0.5 microgram per milliliter); G007LK (1 micromolar)
WNT_G007LK-1	ERS3548936	SAMEA5745651	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	WNT_G007LK-1	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	WNT_G007LK-1	sequencing assay	ERX3430158	GCF251S-WNT007-1_S42_R2_001.fastq.gz	GCF251S-WNT007-1_S42_R2_001.fastq.gz	ERR3406512	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3406512/ERR3406512_2.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	WNT3a (0.5 microgram per milliliter); G007LK (1 micromolar)
WNT_G007LK-2	ERS3548937	SAMEA5745652	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	WNT_G007LK-2	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	WNT_G007LK-2	sequencing assay	ERX3430159	GCF251S-WNT007-2_S45_R1_001.fastq.gz	GCF251S-WNT007-2_S45_R1_001.fastq.gz	ERR3406513	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3406513/ERR3406513_1.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	WNT3a (0.5 microgram per milliliter); G007LK (1 micromolar)
WNT_G007LK-2	ERS3548937	SAMEA5745652	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	WNT_G007LK-2	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	WNT_G007LK-2	sequencing assay	ERX3430159	GCF251S-WNT007-2_S45_R2_001.fastq.gz	GCF251S-WNT007-2_S45_R2_001.fastq.gz	ERR3406513	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3406513/ERR3406513_2.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	WNT3a (0.5 microgram per milliliter); G007LK (1 micromolar)
WNT_G007LK-3	ERS3548938	SAMEA5745653	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	WNT_G007LK-3	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	WNT_G007LK-3	sequencing assay	ERX3430160	GCF251S-WNT007-3_S48_R1_001.fastq.gz	GCF251S-WNT007-3_S48_R1_001.fastq.gz	ERR3406514	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3406514/ERR3406514_1.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	WNT3a (0.5 microgram per milliliter); G007LK (1 micromolar)
WNT_G007LK-3	ERS3548938	SAMEA5745653	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	WNT_G007LK-3	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	WNT_G007LK-3	sequencing assay	ERX3430160	GCF251S-WNT007-3_S48_R2_001.fastq.gz	GCF251S-WNT007-3_S48_R2_001.fastq.gz	ERR3406514	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3406514/ERR3406514_2.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	WNT3a (0.5 microgram per milliliter); G007LK (1 micromolar)
